Descripcion;SKU_Detectado;Imagen_Original;Imagen_Final;Imagen_URL_Origen;URL_Producto;Fuente
CB-110/AX-4/WAVE/BIZ;;image188.jpeg;cb-110-ax-4-wave-biz-234.jpeg;;;DOCX_V2_SEGURO
CB-110/AX-4/WAVE/BIZ;;image189.jpeg;cb-110-ax-4-wave-biz-235.jpeg;;;DOCX_V2_SEGURO
(BOLSA X 5 PARES);;image191.jpeg;bolsa-x-5-pares.jpeg;;;DOCX_V2_SEGURO
(BOLSA X 5 PARES);;image192.jpeg;bolsa-x-5-pares-238.jpeg;;;DOCX_V2_SEGURO
(BOLSA X 5 PARES);;image193.png;bolsa-x-5-pares.png;;;DOCX_V2_SEGURO
(BOLSA X 5 PARES);;image194.png;bolsa-x-5-pares-240.png;;;DOCX_V2_SEGURO
(BOLSA X 5 PARES);;image195.png;bolsa-x-5-pares-241.png;;;DOCX_V2_SEGURO
(BOLSA X 5 PARES);;image196.png;bolsa-x-5-pares-242.png;;;DOCX_V2_SEGURO
(BOLSA X 5 PARES);;image197.png;bolsa-x-5-pares-243.png;;;DOCX_V2_SEGURO
(BOLSA X 5 PARES);;image198.png;bolsa-x-5-pares-244.png;;;DOCX_V2_SEGURO
(BOLSA X 5 PARES);;image199.png;bolsa-x-5-pares-245.png;;;DOCX_V2_SEGURO
CAUCHO REPOSAPIE DELANTERO ECO-DELUXE (BOLSA X 5 PARES);;image200.jpeg;caucho-reposapie-delantero-eco-deluxe-bolsa-x-5-pares.jpeg;;;DOCX_V2_SEGURO
(BOLSA X 5 PARES);;image201.jpeg;bolsa-x-5-pares-247.jpeg;;;DOCX_V2_SEGURO
CAUCHO REPOSAPIE DELANTERO CB-110 (BOLSA X 5 PARES);;image202.jpeg;caucho-reposapie-delantero-cb-110-bolsa-x-5-pares.jpeg;;;DOCX_V2_SEGURO
AX-100 MV;;image203.jpeg;ax-100-mv.jpeg;;;DOCX_V2_SEGURO
RX-100/115- V80;;image204.png;rx-100-115-v80.png;;;DOCX_V2_SEGURO
